Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
com.android.internal.telephony.RIL.responseCallForward(Parcel);com.android.internal.telephony.CallForwardInfo;1;0;0;1.0000;2581;171;27;0;6;0.1429;3;1;6
com.android.internal.telephony.cdma.CdmaCallTracker.hangup(CdmaCall);com.android.internal.telephony.Phone;2;6;4;0.8611;707;48;22;0;1;1.0000;175;175;72
com.android.internal.telephony.PhoneBase.registerForInCallVoicePrivacyOff(Handler, int, Object);com.android.internal.telephony.CommandsInterface;0;0;1;0.9939;599;135;66;1;0;0.9954;216;214;44
com.android.internal.telephony.RIL.setCLIR(int, Message);com.android.internal.telephony.RILRequest;1;3;1;0.9892;2581;171;27;2;2;0.7273;68;5;12
com.android.internal.telephony.cdma.SmsMessage.isMwiDontStore();com.android.internal.telephony.cdma.sms.BearerData;1;0;1;0.9600;546;31;16;0;2;0.9474;1200;64;113
com.android.internal.telephony.PhoneBase.unregisterForInCallVoicePrivacyOn(Handler);com.android.internal.telephony.CommandsInterface;0;0;1;0.9939;599;135;66;1;0;0.9954;216;214;44
com.android.internal.telephony.gsm.GsmMmiCode.newFromDialString(String, GSMPhone, UiccCardApplication);com.android.internal.telephony.PhoneBase;1;3;17;0.8182;839;42;61;0;1;0.9942;599;135;66
com.android.internal.telephony.cdma.CdmaCallTracker.handleMessage(Message);com.android.internal.telephony.cdma.CDMAPhone;2;7;7;0.8421;707;48;22;2;0;0.9882;974;127;45
com.android.internal.telephony.cdma.CDMAPhone.enableEnhancedVoicePrivacy(boolean, Message);com.android.internal.telephony.CommandsInterface;0;0;0;1.0000;974;127;45;1;0;0.9954;216;214;44
com.android.internal.telephony.cdma.CdmaInformationRecords.CdmaNumberInfoRec.toString();com.android.internal.telephony.cdma.CdmaInformationRecords;0;0;6;0.1429;10;1;6;1;0;1.0000;60;1;12
com.android.internal.telephony.gsm.GsmServiceStateTracker.onRestrictedStateChanged(AsyncResult);com.android.internal.telephony.RestrictedState;1;2;7;0.9730;1012;35;45;1;3;0.7143;52;3;3
com.android.internal.telephony.test.SimulatedCommands.shutdown();com.android.internal.telephony.CommandsInterface;1;0;1;0.9936;821;136;26;0;1;0.9954;216;214;44
com.android.internal.telephony.cdma.CdmaCallTracker.dialThreeWay(String);com.android.internal.telephony.cdma.CdmaConnection;2;1;3;0.9437;707;48;22;0;1;0.9848;565;40;27
com.android.internal.telephony.PhoneBase.isDataConnectivityPossible(String);com.android.internal.telephony.DataConnectionTracker;0;0;1;0.9939;599;135;66;1;0;0.9909;693;68;68
com.android.internal.telephony.sip.SipPhone.SipCall.add(SipConnection);com.android.internal.telephony.sip.SipPhone.SipConnection;1;0;0;1.0000;214;24;0;0;1;0.9600;125;15;7
com.android.internal.telephony.cat.CatService.handleCommand(CommandParams, boolean);com.android.internal.telephony.cat.AppInterface;10;2;5;0.8286;470;19;25;0;2;1.0000;13;4;4
com.android.internal.telephony.PhoneSubInfo.getMsisdn();com.android.internal.telephony.Phone;0;0;3;0.8947;98;16;6;1;0;0.9947;175;175;72
