Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
android.support.v4.app.FragmentManagerImpl.saveFragmentViewState(Fragment);android.support.v4.app.Fragment;1;0;1;0.9882;1280;68;37;0;2;0.9785;439;56;44
android.support.v4.view.MotionEventCompat.EclairMotionEventVersionImpl.getX(MotionEvent, int);android.support.v4.view.MotionEventCompatEclair;0;0;0;1.0000;12;4;0;1;0;1.0000;12;4;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoJellybeanImpl.getMovementGranularities(Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.updateText(int, PagerAdapter);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.MenuItemCompat.HoneycombMenuVersionImpl.setActionView(MenuItem, View);android.support.v4.view.MenuItemCompatHoneycomb;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.LoaderInfo.start();android.support.v4.content.Loader;2;0;8;0.6923;216;10;14;1;0;0.9714;116;18;7
android.support.v4.app.LoaderManagerImpl.doDestroy();android.support.v4.util.SparseArrayCompat;1;0;5;0.8750;234;16;9;0;0;1.0000;183;19;5
android.support.v4.app.LoaderManagerImpl.getLoader(int);android.support.v4.util.SparseArrayCompat;1;0;2;0.9200;234;16;9;0;0;1.0000;183;19;5
android.support.v4.view.ViewPager.MyAccessibilityDelegate.performAccessibilityAction(View, int, Bundle);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.widget.ScrollerCompat.ScrollerCompatImplIcs.getCurrVelocity();android.support.v4.widget.ScrollerCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.initViewPager();android.support.v4.view.ViewCompat;0;0;4;0.9310;712;29;36;0;0;1.0000;6;2;1
android.support.v4.view.ViewCompat.ICSViewCompatImpl.canScrollHorizontally(View, int);android.support.v4.view.ViewCompatICS;0;0;0;1.0000;6;2;0;1;0;1.0000;6;2;0
android.support.v4.app.NotificationCompat.NotificationCompatImplHoneycomb.build(Builder);android.support.v4.app.NotificationCompat.Builder;0;0;0;0;0;0;0;0;0;0;0;0;0
