Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.cognitive.critics.CrWrongDepEnds.stillValid(ToDoItem, Designer);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.UmlHelperImpl.getDataTypes();org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.application.modules.ModuleLoader.loadClassFromLoader(ClassLoader, String, String, boolean);org.argouml.application.events.ArgoEventTypes;1;3;3;0.8929;427;24;8;0;1;0.9545;0;0;15
org.argouml.uml.ui.PropPanel.isRemovableElement();org.argouml.kernel.ProjectManager;0;0;1;0.9796;282;35;12;2;0;0.9333;70;10;8
org.argouml.uml.diagram.ui.ActionAddNote.actionPerformed(ActionEvent);org.argouml.kernel.ProjectManager;7;0;1;1.0000;59;2;2;2;0;0.9474;70;10;8
org.argouml.uml.ui.SaveGraphicsManager.setDefaultFilter(SuffixFilter);org.argouml.util.SuffixFilter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.cognitive.ui.ToDoPane.valueChanged(TreeSelectionEvent);org.argouml.ui.ProjectBrowser;0;1;2;0.9474;268;24;22;2;0;0.9804;331;28;22
org.argouml.uml.generator.ParserDisplay.parseAttributeFig(Object, Object, String);org.argouml.kernel.ProjectManager;3;2;0;0.9636;2004;52;8;0;0;1.0000;70;10;8
org.argouml.ui.MultiEditorPane.targetRemoved(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;0;1;0;0.9615;157;20;6;1;0;0.9000;44;5;6
org.argouml.application.StartCritics.run();org.argouml.application.api.Argo;5;0;1;1.0000;21;1;1;0;1;1.0000;29;9;34
org.argouml.model.uml.EventListenerHashMap.remove(MBase, EventKey, MElementListener);org.argouml.model.uml.EventListenerList;0;0;1;0.8333;29;5;2;1;0;0.9000;138;8;2
org.argouml.uml.reveng.Import.doFile();org.argouml.ui.ProjectBrowser;2;2;8;0.7222;179;13;20;1;0;1.0000;331;28;22
org.argouml.uml.ui.behavior.common_behavior.ActionNewReception.actionPerformed(ActionEvent);org.argouml.ui.targetmanager.TargetManager;3;0;1;1.0000;11;1;1;1;1;0.9677;208;23;8
org.argouml.cognitive.ui.ToDoByDecision.toDoItemsAdded(ToDoListEvent);org.argouml.cognitive.ToDoItem;2;0;1;1.0000;90;4;1;1;0;0.9750;183;20;13
org.argouml.cognitive.Designer.setGoalPriority(String, int);org.argouml.cognitive.GoalModel;0;0;1;0.9848;353;51;33;1;0;0.8889;31;6;1
org.argouml.notation.ui.SettingsTabNotation.handleSettingsTabRefresh();org.argouml.application.api.Configuration;1;1;9;0.5000;87;10;9;2;0;1.0000;89;28;5
org.argouml.model.uml.ModelManagementHelperImpl.getAllBehavioralFeatures(Object);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.state.ui.UMLStateDiagram.getNewDiagramName();org.argouml.kernel.Project;0;1;0;1.0000;157;19;13;1;0;0.9857;587;44;23
org.argouml.uml.diagram.ui.FigEdgeModelElement.makeCommentPort();org.argouml.uml.diagram.ui.FigNodeModelElement;0;0;0;0;0;0;0;0;0;0;0;0;0
