Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
installer.CBZip2OutputStream;1262;32;41;0.9520;1;9.0;261
gnu.regexp.REFilterInputStream;46;4;6;0.8750;0;5.0;14
org.gjt.sp.jedit.options.ToolBarEditDialog;173;5;12;0.7000;0;7.0;21
org.gjt.sp.jedit.help.HelpIndex;141;9;4;0.8056;0;3.0;33
org.gjt.sp.jedit.options.GlobalOptions;41;2;2;1.0000;0;1.0;6
org.gjt.sp.jedit.gui.DockableWindowManager;315;21;15;0.8897;1;12.0;77
org.gjt.sp.jedit.pluginmgr.InstallPanel;59;2;4;0.8750;0;0.0;4
com.loomcom.ant.tasks.jarbundler.JarBundler;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.Chunk;132;8;11;0.7576;2;5.0;53
org.gjt.sp.jedit.textarea.MouseActions;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.SplashScreen;59;4;7;0.7857;0;1.0;8
org.gjt.sp.util.WorkThread;94;8;8;0.8125;0;5.0;22
org.gjt.sp.jedit.textarea.TextAreaPainter;350;33;34;0.9700;3;29.0;99
installer.InstallThread;46;2;6;0.3333;0;1.0;9
org.gjt.sp.jedit.jEdit;1492;98;27;0.9667;2;48.0;438
org.gjt.sp.util.ProgressObserver;0;0;0;0;0;0;0
org.gjt.sp.jedit.JARClassLoader;338;11;9;0.8547;0;6.0;85
org.gjt.sp.jedit.options.PrintOptionPane;32;2;6;0.5000;0;0.0;3
org.gjt.sp.jedit.options.PluginOptions;34;1;1;0.8000;0;2.0;9
org.gjt.sp.jedit.indent.OpenBracketIndentRule;0;0;0;0;0;0;0
org.gjt.sp.jedit.msg.ViewUpdate;14;2;4;1.0833;0;0.0;5
bsh.BSHBlock;27;2;0;0.0000;0;1.0;7
org.gjt.sp.util.IntegerArray;26;3;2;0.5000;0;0.0;8
org.gjt.sp.jedit.msg.PluginUpdate;0;0;0;0;0;0;0
bsh.BSHIfStatement;19;2;0;0.0000;0;1.0;9
bsh.CallStack;42;10;1;0.2222;0;1.0;13
org.gjt.sp.jedit.syntax.DummyTokenHandler;2;1;1;0.0000;0;0.0;1
org.gjt.sp.jedit.help.HelpSearchPanel;29;1;4;0.7500;0;1.0;4
org.gjt.sp.jedit.options.MouseOptionPane;0;0;0;0;0;0;0
org.objectweb.asm.Constants;0;0;0;0;0;0;0
bsh.BSHType;35;3;3;0.6667;0;1.0;10
org.gjt.sp.jedit.syntax.TokenMarker;353;9;15;0.7879;1;37.0;112
bsh.BSHPrimitiveType;6;0;1;1.0000;0;0.0;2
org.gjt.sp.jedit.options.GutterOptionPane;78;2;20;0.6000;0;1.0;9
org.gjt.sp.jedit.gui.SelectLineRange;89;4;5;0.7000;0;0.0;11
org.gjt.sp.jedit.options.ContextAddDialog;82;4;7;0.7857;0;2.0;12
org.gjt.sp.jedit.gui.DockableLayout;0;0;0;0;0;0;0
