Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.tools.ant.filters.HeadFilter;76;4;9;0.9259;0;3.0;23
org.apache.tools.ant.util.ConcatResourceInputStream;0;0;0;0;0;0;0
org.apache.tools.ant.types.selectors.MajoritySelector;37;2;1;0.6667;0;0.0;9
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm;2;2;0;0.0000;0;0.0;2
org.apache.tools.ant.types.resources.selectors.Not;0;0;0;0;0;0;0
org.apache.tools.ant.types.resources.selectors.None;0;0;0;0;0;0;0
org.apache.tools.ant.helper.AntXMLContext;106;10;11;0.9309;0;1.0;35
org.apache.tools.ant.types.selectors.SelectorScanner;3;3;0;0.0000;0;0.0;3
org.apache.tools.ant.types.resources.selectors.Type;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.ManifestClassPath;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.jlink.JlinkTask;76;8;4;0.7778;0;2.0;22
org.apache.tools.ant.filters.StringInputStream;99;7;4;0.5625;0;0.0;27
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator;16;2;0;0.0000;0;0.0;5
org.apache.tools.ant.taskdefs.JikesOutputParser;68;10;7;0.9351;0;2.0;22
org.apache.tools.ant.taskdefs.rmic.WLRmic;40;3;0;0.0000;0;4.0;8
org.apache.tools.ant.taskdefs.optional.junit.XMLConstants;0;0;19;0.0000;0;0.0;0
org.apache.tools.ant.taskdefs.BZip2;23;1;0;0.0000;0;0.0;4
org.apache.tools.ant.types.Permissions;61;5;6;0.8889;0;0.0;11
org.apache.tools.ant.taskdefs.optional.extension.JarLibManifestTask;109;11;7;0.9091;0;5.0;25
org.apache.tools.ant.taskdefs.optional.ejb.EjbJar;165;23;5;0.8538;1;7.0;43
org.apache.tools.zip.ExtraFieldUtils;85;5;1;0.7500;0;2.0;18
org.apache.tools.ant.types.ArchiveFileSet;0;0;0;0;0;0;0
org.apache.tools.ant.types.DTDLocation;0;0;0;0.0000;0;0.0;0
org.apache.tools.zip.UnixStat;0;0;7;0.0000;0;0.0;0
org.apache.tools.ant.taskdefs.optional.depend.constantpool.NameAndTypeCPInfo;28;3;4;0.6000;0;1.0;7
org.apache.tools.ant.util.regexp.JakartaOroMatcher;56;6;3;0.8750;0;4.0;16
org.apache.tools.ant.taskdefs.optional.junit.Enumerations;8;2;0;0.0000;0;0.0;3
