Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory.getCompiler(String, Task);org.apache.tools.ant.Task;2;2;1;1.0000;81;3;1;1;0;0.9600;143;16;8
org.apache.tools.ant.taskdefs.optional.clearcase.CCUpdate.execute();org.apache.tools.ant.Project;0;1;0;0.9444;90;3;13;1;0;0.9906;672;82;32
org.apache.tools.ant.XmlLogger.targetStarted(BuildEvent);org.apache.tools.ant.BuildEvent;4;1;4;0.8696;206;13;18;0;1;0.9375;43;1;6
org.apache.tools.ant.taskdefs.optional.net.FTP.rmDir(FTPClient, String);org.apache.tools.ant.Project;1;1;5;0.8723;613;22;36;0;2;1.0000;672;82;32
org.apache.tools.ant.Project.fireSubBuildFinished(Throwable);org.apache.tools.ant.SubBuildListener;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Copy.execute();org.apache.tools.ant.types.ResourceCollection;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.AbstractCvsTask.executeToString(Execute);org.apache.tools.ant.taskdefs.Execute;2;0;0;1.0000;330;17;23;1;1;0.9000;297;14;16
org.apache.tools.ant.listener.CommonsLoggingListener.taskStarted(BuildEvent);org.apache.tools.ant.BuildEvent;3;2;1;0.8333;186;11;4;0;1;0.9333;43;1;6
org.apache.tools.ant.taskdefs.Execute.getProcEnvCommand();org.apache.tools.ant.taskdefs.condition.Os;0;0;0;1.0000;297;14;16;1;0;1.0000;90;10;8
org.apache.tools.ant.Diagnostics.doReport(PrintStream);org.apache.tools.ant.Main;0;6;0;1.0000;226;15;1;1;0;1.0000;588;19;19
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout.getCommentFileCommand(Commandline);org.apache.tools.ant.types.Commandline.Argument;0;0;2;0.9333;127;6;18;1;0;0.8750;23;5;1
