Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
net.sourceforge.pmd.util.viewer.gui.EvaluationResultsPanel.viewerModelChanged(net.sourceforge.pmd.util.viewer.model.ViewerModelEvent);net.sourceforge.pmd.util.viewer.model.ViewerModel;1;1;2;0.875;0.9333333333333333;12;36;39
net.sourceforge.pmd.lang.ecmascript.rule.basic.ConsistentReturnRule.visit(java.lang.Object, net.sourceforge.pmd.lang.ecmascript.ast.ASTFunctionNode);net.sourceforge.pmd.lang.rule.AbstractRule;1;0;3;1.0;0.9761904761904762;18;21;193
net.sourceforge.pmd.lang.java.rule.optimizations.AvoidInstantiatingObjectsInLoopsRule.insideLoop(net.sourceforge.pmd.lang.java.ast.ASTAllocationExpression);net.sourceforge.pmd.lang.ast.AbstractNode;1;0;1;1.0;0.9714285714285714;13;25;247
net.sourceforge.pmd.lang.java.rule.design.NonThreadSafeSingletonRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration);net.sourceforge.pmd.lang.rule.AbstractRule;1;2;5;0.9090909090909091;0.9814814814814815;45;61;193
net.sourceforge.pmd.lang.java.rule.naming.AvoidFieldNameMatchingMethodNameRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceBody);net.sourceforge.pmd.lang.ast.AbstractNode;2;0;5;1.0;0.9545454545454546;25;31;247
net.sourceforge.pmd.lang.java.rule.design.GenericClassCounterRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration);net.sourceforge.pmd.lang.java.rule.AbstractJavaRule;1;2;3;0.8947368421052632;1.0;11;75;375
net.sourceforge.pmd.lang.java.rule.design.ImmutableFieldRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTClassOrInterfaceDeclaration);net.sourceforge.pmd.lang.java.ast.AbstractJavaNode;1;3;5;0.85;0.9583333333333334;19;75;52
net.sourceforge.pmd.lang.java.rule.unusedcode.UnusedFormalParameterRule.isSerializationMethod(net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration);net.sourceforge.pmd.lang.java.ast.AbstractJavaTypeNode;0;0;0;0;0
net.sourceforge.pmd.lang.plsql.dfa.StatementAndBraceFinder.visit(java.lang.Object, net.sourceforge.pmd.lang.plsql.dfa.ASTContinueStatement);net.sourceforge.pmd.lang.dfa.NodeType;0;0;3;1.0;1.0;10;390;12
net.sourceforge.pmd.lang.java.rule.strings.ConsecutiveLiteralAppendsRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId);net.sourceforge.pmd.lang.java.rule.strings.InefficientStringBufferingRule;1;7;5;0.8333333333333334;1.0;59;167;121
net.sourceforge.pmd.lang.plsql.symboltable.MethodNameDeclaration.isVarargs();net.sourceforge.pmd.lang.plsql.ast.ASTMethodDeclarator;1;0;2;1.0;0.75;7;76;12
net.sourceforge.pmd.lang.plsql.rule.codesize.NPathComplexityRule.visit(java.lang.Object, net.sourceforge.pmd.lang.plsql.ast.ASTTriggerTimingPointSection);net.sourceforge.pmd.lang.ast.AbstractNode;2;1;4;1.0;0.9545454545454546;12;234;247
net.sourceforge.pmd.lang.java.rule.imports.DontImportJavaLangRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration);net.sourceforge.pmd.lang.rule.AbstractRule;1;0;3;1.0;0.9767441860465116;20;20;193
net.sourceforge.pmd.lang.java.rule.logging.MoreThanOneLoggerRule.init(java.lang.Object, net.sourceforge.pmd.lang.java.ast.JavaNode);net.sourceforge.pmd.util.NumericConstants;0;2;2;0.8181818181818181;1.0;10;38;0
net.sourceforge.pmd.lang.java.symboltable.MethodNameDeclaration.getParameterCount();net.sourceforge.pmd.lang.java.ast.ASTMethodDeclarator;1;0;2;1.0;0.6666666666666667;3;82;12
net.sourceforge.pmd.lang.java.symboltable.ClassScope.determineParameterTypes(net.sourceforge.pmd.lang.java.symboltable.MethodNameDeclaration);net.sourceforge.pmd.lang.java.ast.ASTType;0;0;0;0;0
net.sourceforge.pmd.processor.MonoThreadProcessor.addError(java.lang.Exception, java.lang.String, java.lang.String, net.sourceforge.pmd.Report);net.sourceforge.pmd.Report;1;0;1;1.0;0.9782608695652174;4;39;190
net.sourceforge.pmd.renderers.HTMLRenderer.end();net.sourceforge.pmd.renderers.AbstractIncrementingRenderer;2;2;3;0.8888888888888888;0.8181818181818181;9;125;22
net.sourceforge.pmd.dcd.UsageNodeVisitor.visit(java.lang.Object, net.sourceforge.pmd.dcd.graph.FieldNode);net.sourceforge.pmd.dcd.graph.FieldNode;1;3;2;0.896551724137931;0.9473684210526316;15;147;22
