Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.catalina.authenticator.SavedRequest;67;15;9;0.9357;0;0.0;22
org.apache.tomcat.jni.BIOCallback;4;4;0;0.0000;0;0.0;4
org.apache.catalina.ant.DeployTask;93;7;6;0.8333;0;0.0;29
org.apache.catalina.ha.tcp.SendMessageData;24;0;3;0.6667;0;0.0;7
org.apache.naming.SelectorContext;146;31;6;0.9646;0;0.0;46
org.apache.el.lang.ELArithmetic;96;16;5;0.8000;0;0.0;46
org.apache.catalina.LifecycleListener;1;1;0;0.0000;0;0.0;1
org.apache.el.ValueExpressionImpl;73;11;5;0.6714;0;0.0;20
org.apache.catalina.ha.jmx.ClusterJmxHelper;82;7;4;0.9286;0;0.0;19
org.apache.catalina.core.StandardPipeline;234;16;8;0.7708;0;10.0;71
org.apache.tomcat.util.http.NamesEnumerator;30;3;4;0.5833;0;1.0;8
org.apache.tomcat.util.http.fileupload.DeferredFileOutputStream;34;3;4;0.7000;0;1.0;8
org.apache.catalina.ha.Constants;0;0;1;0.0000;0;0.0;0
org.apache.tomcat.util.buf.ReadConvertor;17;3;0;0.0000;0;0.0;6
org.apache.jasper.compiler.Collector;5;1;0;0.0000;0;1.0;1
org.apache.tomcat.util.digester.FactoryCreateRule;114;5;5;0.8286;0;2.0;35
org.apache.tomcat.util.bcel.classfile.RuntimeInvisibleParameterAnnotations;0;0;0;0;0;0;0
org.apache.catalina.tribes.ChannelListener;4;4;0;0.0000;0;0.0;4
org.apache.catalina.deploy.NamingResources;332;35;12;0.8739;0;4.0;63
org.apache.catalina.deploy.ContextResourceEnvRef;19;2;1;0.0000;0;0.0;4
org.apache.tomcat.util.http.FastHttpDateFormat;85;6;8;0.9250;0;0.0;21
org.apache.tomcat.util.buf.WriteConvertor;22;4;1;0.7500;0;0.0;6
org.apache.catalina.tribes.ChannelInterceptor;16;16;0;0.0000;0;0.0;16
org.apache.catalina.core.ApplicationJspConfigDescriptor;0;0;0;0;0;0;0
org.apache.tomcat.util.net.DefaultServerSocketFactory;16;5;0;0.0000;0;0.0;6
org.apache.catalina.ContainerServlet;2;2;0;0.0000;0;0.0;2
org.apache.coyote.http11.filters.IdentityOutputFilter;50;4;5;0.8000;0;2.0;12
org.apache.catalina.Executor;2;2;0;0.0000;0;0.0;2
org.apache.catalina.deploy.FilterDef;51;9;7;0.9082;0;0.0;15
org.apache.el.parser.AstIdentifier;78;7;0;0.0000;0;2.0;21
org.apache.catalina.mbeans.Constants;0;0;1;0.0000;0;0.0;0
org.apache.jasper.compiler.JspUtil;693;44;8;0.9855;0;4.0;212
org.apache.catalina.realm.RealmBase;669;38;24;0.9575;2;7.0;231
org.apache.catalina.tribes.group.AbsoluteOrder;7;1;1;1.0000;0;0.0;4
org.apache.catalina.startup.ExpandWar;183;6;2;0.9000;0;0.0;44
org.apache.catalina.core.ApplicationFilterChain;225;9;13;0.8811;1;7.0;54
org.apache.tomcat.util.modeler.OperationInfo;53;8;4;0.9500;0;0.0;18
org.apache.jasper.compiler.ErrorDispatcher;158;22;2;0.9091;0;6.0;42
org.apache.coyote.OutputBuffer;1;1;0;0.0000;0;0.0;1
org.apache.el.parser.ELParserTokenManager;1035;33;25;0.9303;0;7.0;443
org.apache.catalina.tribes.io.DirectByteArrayOutputStream;15;4;1;0.0000;0;2.0;5
org.apache.tomcat.util.bcel.classfile.Attribute;0;0;0;0;0;0;0
org.apache.tomcat.util.bcel.util.ByteSequence;0;0;0;0;0;0;0
org.apache.jasper.compiler.WebXml;0;0;0;0;0;0;0
org.apache.tomcat.jni.SSL;14;14;118;1.0769;0;0.0;14
org.apache.catalina.tribes.group.interceptors.SimpleCoordinator;58;9;2;0.7778;0;1.0;16
org.apache.catalina.mbeans.ClassNameMBean;6;1;0;0.0000;0;0.0;2
org.apache.jasper.compiler.ServletWriter;65;13;6;0.7024;0;0.0;26
org.apache.catalina.deploy.ApplicationParameter;39;5;4;0.7500;0;0.0;10
org.apache.catalina.authenticator.AuthenticatorBase;286;20;18;0.9403;1;10.0;97
org.apache.tomcat.util.http.fileupload.ProgressListener;0;0;0;0;0;0;0
org.apache.jasper.el.JspPropertyNotWritableException;3;0;0;0.0000;0;0.0;1
org.apache.el.parser.Node;15;15;0;0.0000;0;0.0;15
org.apache.catalina.startup.WebAnnotationSet;125;6;0;0.0000;0;8.0;52
org.apache.tomcat.util.net.SSLSessionManager;1;1;0;0.0000;0;0.0;1
org.apache.catalina.core.StandardWrapper;712;75;32;0.9703;1;17.0;197
org.apache.catalina.tribes.membership.Constants;4;1;1;0.0000;0;0.0;1
org.apache.tomcat.util.bcel.classfile.ConstantInteger;0;0;0;0;0;0;0
org.apache.tomcat.jni.Sockaddr;0;0;6;0.0000;0;0.0;0
org.apache.tomcat.util.bcel.classfile.AnnotationElementValue;0;0;0;0;0;0;0
org.apache.naming.factory.BeanFactory;112;1;0;0.0000;1;1.0;35
org.apache.coyote.http11.Http11AprProtocol;387;76;26;0.9640;1;35.0;128
org.apache.naming.JndiPermission;6;0;0;0.0000;0;0.0;2
org.apache.tomcat.jni.Local;5;5;0;0.0000;0;0.0;5
org.apache.catalina.ha.deploy.WarWatcher;49;3;4;0.7500;0;0.0;16
org.apache.catalina.authenticator.SingleSignOn;187;18;8;0.9063;1;8.0;71
org.apache.juli.logging.LogFactory;50;12;6;0.9762;0;0.0;16
org.apache.tomcat.util.modeler.BaseNotificationBroadcaster;54;6;1;0.6000;0;3.0;20
org.apache.coyote.http11.InternalOutputBuffer;255;24;14;0.8214;3;27.0;66
org.apache.coyote.http11.InputFilter;7;7;0;0.0000;0;0.0;7
org.apache.jasper.compiler.JarResource;0;0;0;0;0;0;0
org.apache.tomcat.util.http.Parameters;363;23;19;0.9271;0;7.0;109
org.apache.catalina.ContainerListener;1;1;0;0.0000;0;0.0;1
org.apache.catalina.tribes.membership.StaticMember;29;3;0;0.0000;0;0.0;13
org.apache.jasper.el.ELResolverImpl;75;6;2;0.4167;0;0.0;24
org.apache.tomcat.util.http.fileupload.Streams;0;0;0;0;0;0;0
org.apache.el.parser.AstChoice;12;2;0;0.0000;0;0.0;5
org.apache.catalina.core.AprLifecycleListener;127;6;10;0.9000;0;6.0;29
org.apache.catalina.connector.RequestFacade;435;65;2;0.1538;1;1.0;136
org.apache.coyote.http11.Http11NioProtocol;448;96;26;0.9664;1;32.0;141
org.apache.naming.ServiceRef;71;5;9;1.0000;0;0.0;15
org.apache.coyote.Adapter;2;2;0;0.0000;0;0.0;2
org.apache.naming.ResourceRef;54;2;4;1.0000;0;0.0;10
org.apache.tomcat.util.http.fileupload.FileDeleteStrategy;0;0;0;0;0;0;0
org.apache.tomcat.util.modeler.FixedNotificationFilter;15;2;2;1.0000;0;0.0;5
org.apache.jasper.runtime.JspFactoryImpl;71;6;5;1.0000;1;1.0;16
org.apache.tomcat.util.buf.MessageBytes;402;31;17;0.7647;0;4.0;122
org.apache.tomcat.util.bcel.classfile.StackMapTable;0;0;0;0;0;0;0
org.apache.naming.resources.Constants;0;0;3;0.0000;0;0.0;0
org.apache.catalina.mbeans.GlobalResourcesLifecycleListener;103;5;3;0.8333;0;2.0;29
org.apache.catalina.connector.CometEventImpl;54;6;5;0.7800;0;1.0;15
org.apache.catalina.loader.WebappClassLoader;1191;44;30;0.9321;2;8.0;369
org.apache.tomcat.util.bcel.classfile.AnnotationEntry;0;0;0;0;0;0;0
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask;55;4;3;0.7143;0;2.0;14
org.apache.jasper.el.ExpressionEvaluatorImpl;19;2;1;0.5000;0;2.0;5
org.apache.catalina.tribes.membership.MemberImpl;300;29;19;0.9485;0;1.0;65
org.apache.tomcat.JarScanner;0;0;0;0;0;0;0
org.apache.tomcat.util.digester.ParserFeatureSetterFactory;8;1;1;0.0000;0;0.0;2
org.apache.tomcat.util.bcel.classfile.ConstantNameAndType;0;0;0;0;0;0;0
org.apache.tomcat.util.net.SSLImplementation;29;5;3;0.9167;0;0.0;12
org.apache.tomcat.util.res.StringManager;92;9;3;0.8485;0;0.0;23
org.apache.catalina.Manager;36;36;0;0.0000;0;0.0;36
org.apache.tomcat.util.http.mapper.MappingData;11;1;9;0.0000;0;0.0;1
org.apache.tomcat.jni.Global;6;6;0;0.0000;0;0.0;6
org.apache.catalina.session.ManagerBase;491;55;32;0.9696;1;1.0;147
org.apache.catalina.filters.RequestFilter;0;0;0;0;0;0;0
org.apache.catalina.startup.XmlErrorHandler;0;0;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.Unknown;0;0;0;0;0;0;0
org.apache.jasper.compiler.ELParser;204;12;8;0.8750;0;0.0;64
org.apache.catalina.tribes.Constants;0;0;1;0.0000;0;0.0;0
org.apache.catalina.ha.backend.MultiCastSender;0;0;0;0;0;0;0
org.apache.catalina.startup.Bootstrap;240;19;8;0.9097;0;4.0;55
org.apache.tomcat.util.bcel.classfile.StackMapEntry;0;0;0;0;0;0;0
org.apache.catalina.tribes.group.GroupChannel;268;24;8;0.9000;0;17.0;84
org.apache.jasper.runtime.JspRuntimeLibrary;647;45;2;1.0000;1;1.0;229
org.apache.catalina.tribes.ChannelReceiver;8;8;1;1.1429;0;0.0;8
org.apache.catalina.startup.Tomcat;218;21;14;0.9683;0;4.0;44
org.apache.naming.factory.Constants;0;0;12;0.0000;0;0.0;0
org.apache.catalina.mbeans.ConnectorMBean;34;2;0;0.0000;0;0.0;10
org.apache.catalina.startup.SetContextPropertiesRule;15;1;0;0.0000;0;3.0;8
org.apache.catalina.tribes.util.UUIDGenerator;26;3;6;0.9167;0;0.0;10
org.apache.tomcat.util.bcel.classfile.ConstantString;0;0;0;0;0;0;0
org.apache.catalina.tribes.group.interceptors.TcpFailureDetector;227;15;10;0.8875;0;10.0;77
org.apache.tomcat.util.digester.AbstractRulesImpl;25;5;2;0.7500;0;2.0;11
org.apache.catalina.tribes.tipis.Streamable;3;3;0;0.0000;0;0.0;3
org.apache.naming.resources.DirContextURLConnection;184;11;7;0.8462;0;6.0;61
org.apache.catalina.deploy.ContextHandler;63;12;4;0.7708;0;0.0;18
org.apache.tomcat.jni.Status;160;54;59;1.0189;0;0.0;54
org.apache.tomcat.util.modeler.ConstructorInfo;8;1;1;2.0000;0;0.0;3
org.apache.jasper.compiler.Compiler;280;11;8;0.8125;1;17.0;67
org.apache.tomcat.jni.Procattr;13;13;0;0.0000;0;0.0;13
org.apache.catalina.deploy.ResourceBase;43;9;6;0.8974;0;0.0;14
org.apache.naming.resources.WARDirContext;200;29;3;0.8854;0;1.0;64
org.apache.catalina.Host;18;18;2;1.0588;0;0.0;18
org.apache.tomcat.util.threads.TaskQueue;27;3;1;0.5000;0;0.0;13
org.apache.catalina.core.DefaultInstanceManager;316;14;9;0.9206;1;2.0;78
org.apache.catalina.startup.VersionRule;0;0;0;0;0;0;0
org.apache.catalina.util.Enumerator;35;2;1;0.5714;0;0.0;10
org.apache.tomcat.util.http.fileupload.LimitedInputStream;0;0;0;0;0;0;0
org.apache.catalina.tribes.io.ReplicationStream;74;6;1;0.5000;0;0.0;23
org.apache.catalina.ha.session.StandardSessionContext;6;2;1;1.0000;0;0.0;2
org.apache.el.parser.AstNot;11;2;0;0.0000;0;0.0;3
org.apache.catalina.tribes.tipis.LazyReplicatedMap;54;2;1;1.0000;0;4.0;18
org.apache.tomcat.util.log.CaptureLog;13;2;2;0.5000;0;0.0;4
org.apache.coyote.http11.filters.VoidInputFilter;18;6;2;1.0833;0;0.0;7
org.apache.catalina.mbeans.GroupMBean;63;4;3;1.0833;0;0.0;13
org.apache.catalina.ha.tcp.Constants;0;0;1;0.0000;0;0.0;0
org.apache.el.parser.AstString;35;4;1;1.0000;0;0.0;15
org.apache.catalina.tribes.transport.nio.NioReceiver;269;15;8;0.8667;1;7.0;80
org.apache.el.lang.FunctionMapperFactory;19;1;2;0.5000;0;0.0;6
org.apache.catalina.ha.session.SimpleTcpReplicationManager;362;17;17;0.9550;0;9.0;93
org.apache.naming.resources.BaseDirContext;167;58;8;0.9835;0;0.0;70
org.apache.tomcat.jni.ProcErrorCallback;1;1;0;0.0000;0;0.0;1
org.apache.coyote.http11.InternalNioInputBuffer;454;16;24;0.8424;1;17.0;128
org.apache.catalina.tribes.io.XByteBuffer;317;36;7;0.8469;0;0.0;91
org.apache.tomcat.util.bcel.classfile.StackMapTableEntry;0;0;0;0;0;0;0
