Learning rate;Beta;Nb filters 1;Pool size 1;Nb filters 2;Kernel size 2;Pool size 2;Dense shape;F-mesure
0.00104666031846;0.0274025342272;20;5;17;5;10;[92, 79];0.09566698246635497
0.00291108589448;0.132685969162;23;20;20;5;20;[67, 29, 22];0.09387553110718727
0.00233284738536;0.0126112249957;27;5;18;2;20;[41, 31];0.09335177903994918
0.0078595571156;0.0248137213987;22;10;15;4;5;[8, 4];0.09031137404963374
0.00512769453659;0.041952319872;22;5;18;5;20;[26, 17, 5];0.08996652229689062
0.00157068775776;0.180888807423;30;20;15;4;20;[8, 6, 4];0.08956454123836011
0.00167029033733;0.0603604113102;36;10;18;5;5;[67, 15, 15];0.08889728877693415
0.252823356641;0.002203781366;27;10;16;5;5;[57, 43, 17];0.0857525130850263
0.00321357642172;0.00126547724772;13;5;16;3;10;[68, 20, 4];0.08444311167113483
0.0017226928457;0.0350080688676;15;10;11;5;5;[124, 113, 100];0.08404325961600989
0.0012586943224;0.00312520368353;32;5;13;2;10;[122, 67];0.08362371055409312
0.00178048057822;0.00217989079774;14;5;17;2;10;[65, 42];0.08361311163753271
0.00119975610455;0.11012229985;21;10;17;4;20;[43, 16, 14];0.08321192499715835
0.151167027451;0.00164409345592;18;5;16;3;20;[66, 53, 35];0.08305585396010429
0.00165579865008;0.057849944534;32;5;12;2;10;[128, 78, 57];0.07889465021435171
0.193440353081;0.0107559521667;38;5;11;4;5;[45, 19];0.07779404145549051
0.00171413385664;0.00497306683656;39;10;17;3;10;[6, 4, 4];0.07688384945504367
0.00171462638021;0.0441266712567;20;20;18;5;5;[16, 4, 4];0.0764386389637366
0.00274486465795;0.174286605002;15;5;20;5;10;[81, 6];0.0755786478985101
0.00126953787243;0.134631329381;33;10;19;5;5;[70, 62];0.07393513387069106
0.00206235856064;0.273314135101;20;20;11;3;10;[12, 6];0.07350475701969117
0.00153184401751;0.00154372165143;33;5;14;3;20;[27, 6];0.07287421746877953
0.0017040590033;0.00170566445307;14;5;10;2;20;[129, 92, 39];0.07118647242896259
0.00100533766572;0.10092420843;25;5;15;4;20;[135, 74, 17];0.07060749200172722
0.00151970825236;0.0417584134389;18;10;16;5;10;[44, 19];0.06900229165330529
0.00228085934293;0.142826972539;11;5;11;5;20;[54, 24];0.06896641501225531
0.00172679178416;0.198956353651;15;20;10;2;20;[128, 41];0.06692942848894745
0.00140054015927;0.0271970124576;30;20;20;3;10;[104, 8, 6];0.06363778514787555
0.00268715140116;0.00245146890101;23;10;18;3;5;[7, 6, 4];0.06288042571395636
0.00131030978722;0.27305838455;17;10;20;3;5;[129, 17];0.06273607956245542
0.0013583102983;0.00141582264056;28;20;14;3;10;[93, 78];0.06236155319493264
0.00109116923748;0.00381880564597;35;10;20;5;5;[139, 59, 31];0.05831015948206186
0.00204518250583;0.00271654731525;11;5;19;3;20;[86, 11];0.05733378115110099
0.00144227275069;0.308594656701;11;10;13;4;20;[26, 21, 4];0.050718856044113636
0.00108576690714;0.00307538758632;24;20;14;4;5;[33, 28];0.04751401045359671
0.00247113141874;0.169608819757;21;20;18;3;10;[73, 7, 4];0.04043571534566581
0.0747134795677;0.159028275699;36;5;14;4;10;[130, 5, 4];0.033066496
0.188893067952;0.165550201724;33;20;13;2;20;[126, 45];0.033066496
0.190996875708;0.294576870218;23;20;15;3;5;[57, 40];0.033066496
0.0221512845278;0.163894424077;32;10;12;4;20;[81, 10, 10];0.033066496
0.107812337078;0.132444082309;19;10;11;5;10;[62, 26, 14];0.033066496
0.0590584170033;0.119065288808;27;10;11;2;20;[53, 31];0.033066496
0.141248618112;0.243402167156;11;10;19;2;10;[80, 34, 24];0.033066496
0.101257147879;0.22900769074;16;10;12;5;20;[119, 90, 59];0.033066496
0.218723051122;0.0753614474628;16;5;16;5;20;[29, 12, 9];0.033066496
0.223082037173;0.108916083015;12;10;16;5;5;[8, 6];0.033066496
