Learning rate;Beta;Layers;Dropout;F-mesure
0.688351359806;0.0302773492468;[102, 74, 9];1.0;0.14290416426956654
0.00713091852283;0.217256375659;[10, 9];1.0;0.12969552
0.00421974120572;0.0639720402279;[66, 5, 5];1.0;0.12826012
0.0038624845115;0.119052846118;[133, 36];0.5;0.12603553
0.00421632697923;0.0971392374627;[26, 8, 8];1.0;0.12240730598568916
0.0111040768924;0.0359355348094;[7, 4];0.5;0.1205389
0.00689764919591;0.0317877184937;[22, 22];0.5;0.11326471
0.0226854959085;0.0878334675218;[108, 96, 6];0.5;0.08348333928734064
0.930148146921;0.0531967855936;[18, 9];1.0;0.07694445
0.0116762732948;0.00814021026383;[5, 4];0.5;0.07624092
0.0226342907371;0.0972608167436;[53, 26, 10];0.5;0.06252983445301652
0.00640977422471;0.178710642363;[45, 6, 6];0.5;0.04464616
0.0395632912816;0.321213529581;[101, 15];0.5;0.033066496
0.374564441442;0.257144687817;[104, 7, 4];0.5;0.033066496
0.0494687155689;0.499951969934;[36, 30];1.0;0.033066496
0.0387683718137;0.321308426164;[9, 7];1.0;0.033066496
0.0315297631003;0.144080385356;[91, 49];1.0;0.033066496
0.0206527513395;0.471067581007;[96, 84, 46];1.0;0.033066496
0.0162625708221;0.346566416888;[39, 36, 30];1.0;0.033066496
0.0755221934256;0.308531583861;[14, 5, 5];1.0;0.033066496
0.00625638994088;0.651905823127;[85, 50, 41];1.0;0.033066496
0.778246577987;0.297154242608;[82, 76];0.5;0.033066496
0.149940797482;0.214202250078;[49, 37, 26];1.0;0.033066496
0.182010570035;0.106253980581;[76, 31];1.0;0.033066496
0.0151397508921;0.6891876147;[92, 69, 28];1.0;0.033066496
0.0204430924282;0.359933947714;[19, 10, 6];1.0;0.033066496
0.724243752344;0.156895189477;[53, 8, 5];1.0;0.033066496
0.559865714713;0.1666172752;[130, 26, 4];1.0;0.033066496
0.420098212363;0.261114345994;[30, 30];0.5;0.033066496
0.318617071405;0.964464145761;[43, 8];1.0;0.033066496
0.0318364153213;0.279796898465;[139, 69, 35];1.0;0.033066496
0.0275519531811;0.164519367893;[16, 15];1.0;0.033066496
0.0325496627421;0.946341245095;[84, 72, 48];1.0;0.033066496
0.305812390108;0.115953206717;[117, 67, 55];1.0;0.033066496
0.0831745616613;0.121897914313;[15, 7, 7];0.5;0.033066496
0.016546938417;0.937530573766;[111, 20, 7];0.5;0.033066496
0.660202368302;0.157698045537;[25, 21];0.5;0.033066496
0.0056049462288;0.775300271191;[140, 91, 38];0.5;0.033066496
0.184680244629;0.90349610324;[5, 4, 4];1.0;0.033066496
0.82206665219;0.409998292462;[16, 16, 9];1.0;0.033066496
0.169952085071;0.653070192615;[47, 39, 19];0.5;0.033066496
0.829788656362;0.24127442376;[95, 73, 42];0.5;0.033066496
0.384030235584;0.155389841627;[99, 49, 43];0.5;0.033066496
0.749115741191;0.37311761128;[87, 53, 10];0.5;0.033066496
0.171087759247;0.844229805628;[101, 5];1.0;0.033066496
0.666253131244;0.722133852234;[139, 58];1.0;0.033066496
0.472383482817;0.174591040164;[45, 29];0.5;0.033066496
0.109764591487;0.431213134968;[81, 69];1.0;0.033066496
0.0881153240406;0.253441848575;[28, 24];0.5;0.033066496
0.422865404896;0.616135124637;[21, 5];1.0;0.033066496
0.0436162927327;0.194150370972;[46, 13, 5];1.0;0.033066496
0.600116310208;0.155133835146;[56, 51];0.5;0.033066496
0.954247985806;0.355524183337;[58, 20, 18];0.5;0.033066496
0.243071042657;0.0648339180467;[22, 18, 4];1.0;0.033066496
