Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.jasper.compiler.ELFunctionMapper.ELFunctionVisitor.visit(Node.ForwardAction);org.apache.jasper.compiler.Node.ForwardAction;2;0;0;1.0000;151;14;1;0;1;0.8000;15;1;1
org.apache.catalina.core.ContainerBase.stopInternal();org.apache.catalina.Lifecycle;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.manager.ManagerServlet.undeploy(PrintWriter, String);org.apache.catalina.Lifecycle;1;9;4;0.7333;913;34;13;1;0;0.9444;5;5;9
org.apache.catalina.core.ApplicationServletRegistration.getInitParameters();org.apache.catalina.Wrapper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.jasper.compiler.Generator.generateLocalVariables(ServletWriter, Node);org.apache.jasper.compiler.Node.ChildInfo;4;0;0;1.0000;781;28;16;0;4;0.6000;36;0;6
org.apache.catalina.core.StandardContext.getNamingContextName();org.apache.catalina.Container;0;0;1;0.9968;2385;204;107;2;0;0.9459;34;34;6
org.apache.el.parser.AstFunction.getType(EvaluationContext);org.apache.el.lang.EvaluationContext;1;1;2;0.5714;73;4;2;0;1;0.9286;35;7;3
org.apache.jasper.compiler.Generator.FragmentHelperClass.openFragment(Node, int);org.apache.jasper.compiler.Generator;2;0;3;0.8333;132;6;4;1;0;1.0000;781;28;16
org.apache.catalina.core.ContainerBase.addChildInternal(Container);org.apache.catalina.Lifecycle;1;1;4;0.9574;603;62;29;1;0;0.9286;5;5;9
org.apache.coyote.http11.InternalOutputBuffer.nextRequest();org.apache.tomcat.util.buf.ByteChunk;0;0;7;0.8293;255;24;14;1;0;0.9821;425;43;10
org.apache.coyote.Response.addHeader(String, String);org.apache.tomcat.util.http.MimeHeaders;0;1;1;0.9474;250;19;18;1;0;0.9583;129;18;3
org.apache.catalina.connector.Connector.initInternal();org.apache.coyote.ProtocolHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.tribes.io.XByteBuffer.extractPackage(boolean);org.apache.catalina.tribes.io.ChannelData;0;1;0;0.9565;317;36;7;1;0;1.0000;165;14;7
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator.heartbeat();org.apache.catalina.tribes.util.Arrays;0;4;2;0.8800;352;38;14;1;0;1.0000;149;24;1
org.apache.catalina.tribes.transport.nio.ParallelNioSender.setData(NioSender[], byte[]);org.apache.catalina.tribes.transport.nio.NioSender;0;0;0;1.0000;246;12;4;1;0;0.9600;255;12;11
org.apache.catalina.tribes.group.interceptors.FragmentationInterceptor.messageReceived(ChannelMessage);org.apache.catalina.tribes.io.XByteBuffer;1;1;0;0.9333;96;7;5;2;2;0.8889;317;36;7
org.apache.catalina.tribes.group.interceptors.TcpFailureDetector.getMembers();org.apache.catalina.tribes.membership.Membership;0;1;1;0.9091;227;15;10;1;0;0.9545;136;11;6
org.apache.catalina.core.ApplicationFilterConfig.getFilter();org.apache.catalina.deploy.FilterDef;0;2;3;0.7059;121;10;5;1;0;0.9565;51;9;7
org.apache.coyote.ajp.AjpAprProtocol.AjpConnectionHandler.process(long);org.apache.tomcat.util.net.AbstractEndpoint.Handler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.core.ApplicationContextFacade.getResourceAsStream(String);org.apache.catalina.security.SecurityUtil;0;1;1;0.9600;426;46;3;1;0;1.0000;146;11;17
org.apache.catalina.connector.OutputBuffer.write(int);org.apache.tomcat.util.buf.C2BConverter;0;0;3;0.9268;207;25;15;2;0;0.8824;58;8;5
org.apache.catalina.startup.ContextConfig.processAnnotationsJndi(URL, WebXml);org.apache.naming.resources.ResourceAttributes;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tomcat.util.buf.B2CConverter.convert(ByteChunk, CharChunk, int);org.apache.tomcat.util.buf.ByteChunk;3;2;5;0.5000;39;4;7;1;0;0.9815;425;43;10
