Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.lucene.queryParser.CharStream;12;12;0;0.0000;0;0.0;12
org.apache.lucene.index.FieldsWriter;30;2;3;0.1667;0;4.0;8
org.apache.lucene.search.spans.SpanWeight;66;4;7;0.6667;0;4.0;12
org.apache.lucene.index.TermInfosWriter;55;4;11;0.7818;0;6.0;18
org.apache.lucene.search.IndexSearcher;86;9;1;0.1818;0;3.0;28
org.apache.lucene.search.MultiSearcherThread;48;2;11;0.6364;0;4.0;11
org.apache.lucene.search.spans.SpanTermQuery;66;4;1;0.2000;0;2.0;12
org.apache.lucene.analysis.Tokenizer;8;1;1;0.5000;0;0.0;3
org.apache.lucene.search.spans.SpanScorer;48;4;8;0.7250;0;2.0;14
org.apache.lucene.analysis.standard.TokenMgrError;59;3;5;1.1600;0;0.0;20
org.apache.lucene.store.InputStream;101;15;7;0.8381;0;0.0;33
org.apache.lucene.search.Weight;6;6;0;0.0000;0;0.0;6
org.apache.lucene.queryParser.MultiFieldQueryParser;36;2;3;1.0833;0;0.0;10
org.apache.lucene.search.RemoteSearchable;39;10;1;0.1000;0;0.0;12
org.apache.lucene.analysis.de.GermanStemFilter;38;3;3;0.6667;0;4.0;12
org.apache.lucene.util.BitVector;50;5;4;0.6071;0;0.0;10
org.apache.lucene.index.TermInfo;25;2;4;0.3125;0;0.0;5
org.apache.lucene.analysis.Token;30;1;5;0.7714;0;0.0;9
org.apache.lucene.search.HitDoc;4;0;5;0.0000;0;0.0;1
org.apache.lucene.store.RAMFile;0;0;3;0.0000;0;0.0;0
org.apache.lucene.analysis.de.WordlistLoader;45;4;0;0.0000;0;0.0;12
org.apache.lucene.store.RAMInputStream;25;3;2;0.6667;0;2.0;6
org.apache.lucene.index.SegmentReader;224;26;13;0.9031;0;10.0;70
org.apache.lucene.search.spans.SpanQuery;6;4;0;0.0000;0;0.0;4
org.apache.lucene.search.PhrasePositions;35;4;6;0.6667;0;0.0;8
org.apache.lucene.index.SegmentTermPositions;36;7;3;0.5238;0;2.0;12
org.apache.lucene.queryParser.QueryParserTokenManager;817;32;19;0.9025;1;8.0;321
org.apache.lucene.search.FilteredQuery;0;0;0;0;0;0;0
org.apache.lucene.analysis.StopFilter;26;3;1;0.4000;0;1.0;10
org.apache.lucene.index.MultiTermPositions;9;2;0;0.0000;0;0.0;3
org.apache.lucene.index.SegmentMerger;250;14;16;0.8259;0;9.0;60
org.apache.lucene.analysis.LowerCaseTokenizer;6;1;0;0.0000;0;0.0;2
org.apache.lucene.analysis.LetterTokenizer;6;1;0;0.0000;0;0.0;2
org.apache.lucene.queryParser.QueryParserConstants;0;0;37;0.0000;0;0.0;0
org.apache.lucene.search.FieldCacheImpl;0;0;0;0;0;0;0
org.apache.lucene.analysis.SimpleAnalyzer;3;1;0;0.0000;0;0.0;1
org.apache.lucene.search.TermQuery;30;4;1;0.2000;0;2.0;9
org.apache.lucene.util.Constants;2;0;8;0.0000;0;0.0;1
org.apache.lucene.util.StringHelper;13;1;0;0.0000;0;0.0;5
org.apache.lucene.search.BooleanQuery;84;10;2;0.6364;0;3.0;29
org.apache.lucene.document.Field;88;10;8;0.9048;0;0.0;45
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager;825;16;30;0.9648;1;8.0;454
org.apache.lucene.search.spans.Spans;5;5;0;0.0000;0;0.0;5
org.apache.lucene.search.MultiSearcher;107;11;3;0.5385;0;6.0;33
org.apache.lucene.analysis.ru.RussianStemFilter;21;2;2;0.5000;0;4.0;6
