Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.xerces.impl.dtd.models.SimpleContentModel;72;1;5;0.8000;0;7.0;30
org.apache.xerces.impl.xs.SubstitutionGroupHandler;88;6;3;0.8333;0;15.0;31
org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser;210;5;0;0.0000;2;44.0;67
org.apache.xerces.dom.DeferredEntityImpl;31;2;2;0.6667;0;0.0;4
org.apache.html.dom.HTMLUListElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.util.XMLStringBuffer;52;5;2;0.9000;0;0.0;13
org.apache.xerces.util.NamespaceSupport;87;9;6;0.6167;0;2.0;25
org.apache.xerces.jaxp.JAXPConstants;0;0;3;0.0000;0;0.0;0
org.apache.xerces.parsers.XMLGrammarCachingConfiguration;82;9;13;0.9872;2;16.0;19
org.apache.xerces.impl.dv.DVFactoryException;6;0;0;0.0000;0;0.0;2
org.apache.xerces.xni.XMLString;52;6;3;0.3750;0;0.0;18
org.apache.xerces.impl.dv.DatatypeException;11;0;2;0.5000;0;0.0;3
org.apache.xerces.parsers.XML11Configurable;0;0;0;0;0;0;0
org.apache.xerces.impl.XML11NamespaceBinder;0;0;0;0;0;0;0
org.apache.xerces.util.EncodingMap;20;6;2;0.6667;0;0.0;7
org.apache.xerces.impl.dv.xs.YearMonthDurationDV;0;0;0;0;0;0;0
org.apache.wml.WMLInputElement;20;20;0;0.0000;0;0.0;20
org.apache.xerces.parsers.XIncludeAwareParserConfiguration;0;0;0;0;0;0;0
org.apache.wml.WMLAnchorElement;4;4;0;0.0000;0;0.0;4
org.apache.xerces.xinclude.ObjectFactory;215;7;4;0.8750;0;0.0;53
org.apache.xerces.impl.xs.util.XSNamedMap4Types;47;3;1;0.2500;0;2.0;17
org.apache.html.dom.HTMLAreaElementImpl;55;16;0;0.0000;0;0.0;21
org.apache.xerces.dom.DeferredAttrNSImpl;45;2;2;0.6667;0;0.0;11
org.apache.wml.WMLTrElement;0;0;0;0.0000;0;0.0;0
org.apache.xerces.impl.dv.xs.YearMonthDV;21;2;0;0.0000;0;0.0;5
org.apache.wml.WMLFieldsetElement;4;4;0;0.0000;0;0.0;4
org.apache.xerces.impl.xs.XSAnnotationImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.opti.SchemaDOMParser;0;0;0;0;0;0;0
org.apache.xerces.util.DOMErrorHandlerWrapper;67;5;3;0.7083;0;9.0;14
org.apache.xerces.dom.NodeImpl;446;77;14;0.9679;0;20.0;178
org.apache.xerces.xni.parser.XMLDTDFilter;0;0;0;0.0000;0;0.0;0
org.apache.xerces.jaxp.DocumentBuilderImpl;79;7;3;0.7407;1;15.0;22
org.apache.wml.WMLOptgroupElement;4;4;0;0.0000;0;0.0;4
org.apache.xerces.dom.CoreDocumentImpl;875;84;30;0.9797;1;71.0;301
org.apache.xerces.xinclude.XInclude11TextReader;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.identity.XPathMatcher;301;11;18;0.8452;0;20.0;103
org.apache.xerces.dom.DocumentFragmentImpl;11;2;1;1.3333;0;1.0;4
org.apache.wml.dom.WMLCardElementImpl;57;18;0;0.0000;0;0.0;19
org.apache.xerces.xni.Augmentations;5;5;0;0.0000;0;0.0;5
org.apache.wml.WMLHeadElement;0;0;0;0.0000;0;0.0;0
org.apache.html.dom.HTMLCollectionImpl;120;8;13;0.9519;0;3.0;42
