Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xpath.regex.Token.analyzeFirstCharacter(RangeToken, int);org.apache.xerces.impl.xpath.regex.RegularExpression;1;7;25;0.8333;646;50;65;0;2;1.0000;1863;47;32
org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext.declarePrefix(String, String);org.apache.xerces.jaxp.validation.DOMValidatorHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDKeyrefTraverser.traverse(Element, XSElementDecl, XSDocumentInfo, SchemaGrammar);org.apache.xerces.impl.xs.traversers.XSAttributeChecker;8;0;0;1.0000;41;1;0;2;2;0.9286;448;10;99
org.apache.xerces.impl.XMLVersionDetector.startDocumentParsing(XMLEntityHandler, short);org.apache.xerces.impl.XMLEntityManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.ASModelImpl.setNodeName(String);org.apache.xerces.dom.DOMMessageFormatter;2;0;0;1.0000;152;34;3;1;1;1.0000;28;1;2
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.scanCharReference();org.apache.xerces.xni.Augmentations;0;0;3;0.9492;487;28;44;0;0;1.0000;5;5;0
org.apache.xml.serialize.BaseMarkupSerializer.comment(String);org.apache.xml.serialize.OutputFormat;2;3;5;0.9080;969;60;20;0;1;0.9800;226;16;20
org.apache.xerces.impl.XMLDTDScannerImpl.scanEntityDecl();org.apache.xerces.xni.XMLDTDHandler;1;4;8;0.8621;1091;37;33;3;0;0.9464;22;22;2
org.apache.xerces.impl.xs.XSConstraints.overlapUPA(XSElementDecl, XSWildcardDecl, SubstitutionGroupHandler);org.apache.xerces.impl.xs.XSElementDecl;1;0;0;1.0000;713;30;2;0;1;0.9722;125;22;20
org.apache.xerces.jaxp.validation.ValidatorHandlerImpl.fillXMLAttributes2(Attributes2);org.apache.xerces.xni.Augmentations;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.XMLSchemaFactory.getProperty(String);org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.ElementNSImpl.getBaseURI();org.apache.xerces.util.URI;1;0;0;1.0000;134;8;4;1;0;0.9737;649;30;21
org.apache.xerces.dom.ElementImpl.setIdAttributeNS(String, String, boolean);org.apache.xerces.dom.CoreDocumentImpl;4;2;0;0.9574;458;37;3;2;1;0.9732;930;88;17
org.apache.xerces.dom.RangeImpl.setStartBefore(Node);org.apache.xerces.dom.CoreDocumentImpl;4;2;3;0.9180;878;50;14;0;0;1.0000;930;88;17
org.apache.xerces.impl.dtd.models.CMBinOp.calcLastPos(CMStateSet);org.apache.xerces.impl.dtd.XMLContentSpec;1;0;2;0.8000;45;3;2;0;2;1.0000;42;6;18
org.apache.xerces.impl.xs.traversers.XSAttributeChecker.normalize(String, short);org.apache.xerces.impl.dv.XSSimpleType;1;0;0;1.0000;448;10;99;0;2;1.0000;8;8;22
org.apache.xerces.xpointer.ElementSchemePointer.reportError(String, Object[]);org.apache.xerces.impl.XMLErrorReporter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.SAXParserFactoryImpl.getFeature(String);org.apache.xerces.jaxp.SAXParserImpl;2;1;0;0.8000;46;4;1;0;1;0.9000;68;6;2
org.apache.xerces.impl.xs.XMLSchemaLoader.xsdToXMLInputSource(Object);org.apache.xerces.impl.xs.XSMessageFormatter;3;1;4;0.9211;356;16;31;0;1;1.0000;24;1;3
org.apache.xerces.xinclude.XIncludeHandler.ignoredCharacters(XMLString, Augmentations);org.apache.xerces.xni.XMLDTDHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.DOMNormalizer.namespaceFixUp(ElementImpl, AttributeMap);org.apache.xerces.dom.CoreDocumentImpl;6;3;10;0.8000;571;26;22;0;0;1.0000;930;88;17
org.apache.xerces.impl.xs.opti.SchemaParsingConfig.checkProperty(String);org.apache.xerces.impl.Constants;1;0;0;1.0000;241;18;32;0;4;1.0000;34;6;99
org.apache.xerces.impl.dv.xs.MonthDayDV.getXMLGregorianCalendar(DateTimeData);org.apache.xerces.impl.dv.xs.AbstractDateTimeDV.DateTimeData;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.parsers.DOMParser.getFeature(String);org.apache.xerces.util.SAXMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.UnparsedEntityHandler.startDTD(XMLLocator, Augmentations);org.apache.xerces.impl.validation.ValidationManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.models.CMBuilder.copyNode(CMNode);org.apache.xerces.impl.xs.models.CMNodeFactory;6;1;1;0.9333;134;6;4;0;0;1.0000;52;7;9
org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.traverseSimpleContent(Element, XSDocumentInfo, SchemaGrammar);org.apache.xerces.impl.xs.XSComplexTypeDecl;11;2;9;0.8167;482;16;17;0;4;0.9429;154;21;15
org.apache.xerces.xinclude.XIncludeHandler.startGeneralEntity(String, XMLResourceIdentifier, String, Augmentations);org.apache.xerces.impl.Constants;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XMLSchemaLoader.getParameterNames();org.apache.xerces.impl.Constants;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext.fillNamespaceContext();org.apache.xerces.jaxp.validation.DOMValidatorHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.normalize(Object, short);org.apache.xerces.impl.dv.XSSimpleType;2;1;5;0.9740;1216;45;71;0;2;1.0000;8;8;22
org.apache.xerces.impl.dtd.models.CMAny.calcFirstPos(CMStateSet);org.apache.xerces.impl.dtd.models.CMStateSet;0;0;1;0.8889;40;4;3;2;0;0.8889;128;11;5
org.apache.xerces.impl.XMLEntityScanner.scanQName(QName);org.apache.xerces.impl.XMLEntityManager.ScannedEntity;1;1;4;0.8919;901;27;6;0;4;0.8462;68;7;12
org.apache.xml.serialize.BaseMarkupSerializer.printText(char[], int, int, boolean, boolean);org.apache.xml.serialize.Printer;0;1;1;0.9756;969;60;20;2;0;0.9231;154;16;8
org.apache.xerces.impl.XMLEntityScanner.scanContent(XMLString);org.apache.xerces.xni.XMLString;1;1;2;0.9474;901;27;6;1;0;0.9500;52;6;3
org.apache.xerces.impl.dtd.XMLDTDValidator.characters(XMLString, Augmentations);org.apache.xerces.xni.Augmentations;5;2;9;0.8866;801;42;63;0;0;1.0000;5;5;0
org.apache.xerces.impl.xpath.regex.RegularExpression.matchCharArray(Context, Op, int, int, int);org.apache.xerces.impl.xpath.regex.RangeToken;2;10;11;0.9846;1863;47;32;2;0;0.9545;448;15;7
org.apache.xerces.impl.dtd.DTDGrammar.getEntityDecl(int, XMLEntityDecl);org.apache.xerces.impl.dtd.XMLEntityDecl;0;0;11;0.9400;1257;90;75;1;0;0.9500;23;3;8
org.apache.xerces.xinclude.XIncludeHandler.handleIncludeElement(XMLAttributes);org.apache.xerces.xinclude.ObjectFactory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.SubstitutionGroupHandler.substitutionGroupOK(XSElementDecl, XSElementDecl, short);org.apache.xerces.xs.XSConstants;4;0;0;1.0000;88;6;3;0;0;1.0000;0;0;26
org.apache.xerces.xpointer.ElementSchemePointer.Scanner.scanNCName(String, int, int);org.apache.xerces.util.XMLChar;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSElementDecl.getActualVC();org.apache.xerces.xs.XSConstants;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.DOMValidatorHelper.validate(Source, Result);org.apache.xerces.impl.validation.ValidationManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.util.XSNamedMap4Types.getLength();org.apache.xerces.xs.XSTypeDefinition;2;0;1;0.9091;47;3;1;0;0;1.0000;7;7;2
org.apache.xerces.impl.dtd.DTDGrammar.printAttribute(int);org.apache.xerces.xni.QName;2;1;0;0.9934;1257;90;75;0;1;0.9375;77;7;4
org.apache.xerces.dom.DocumentTypeImpl.setUserData(String, Object, UserDataHandler);org.apache.xerces.dom.ParentNode.UserDataRecord;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.parsers.XMLParser.parse(XMLInputSource);org.apache.xerces.xni.parser.XMLParserConfiguration;0;1;1;0.5000;10;2;4;1;0;0.9524;19;19;0
