Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.218082903294;0.013048496511;1;[25, 59];[2, 3];[10, 5];[34, 22, 17];0.34951456310679613
0.324099788109;0.00584050455965;1;[21, 38];[4, 3];[10, 5];[92, 68];0.34782608695652173
0.0922578650226;0.0369600393609;1;[60];[2];[2];[68];0.34437086092715236
0.0815607114101;0.0824397272676;2;[58];[3];[10];[8, 5, 5];0.34080717488789236
0.27375134797;0.0801944779518;6;[36];[4];[10];[24, 14];0.339622641509434
0.0189098994516;0.0158786229357;8;[46, 41];[2, 3];[2, 5];[81, 19];0.3382352941176471
0.192901420148;0.00468234630697;8;[21, 17];[2, 4];[10, 5];[36];0.3373493975903614
0.756598686983;0.0262209768002;4;[55, 30];[3, 4];[5, 10];[6, 6, 6];0.3333333333333333
0.0768280172904;0.152704795272;2;[28, 45];[4, 3];[10, 5];[77, 67, 42];0.3333333333333333
0.540134549705;0.0293697172902;9;[44];[2];[10];[36, 32, 22];0.3298969072164949
0.00727667407596;0.00508154703271;7;[54, 12];[4, 2];[10, 5];[96, 13];0.32402234636871513
0.0138828270136;0.0835177926721;7;[44];[4];[2];[80, 66];0.3177570093457944
0.684390057389;0.0126261172932;6;[22, 27];[2, 2];[10, 10];[23, 15];0.31413612565445026
0.00868031577983;0.0359245230134;7;[41];[2];[10];[93];0.3083700440528634
0.0254413674509;0.0799991578301;8;[30, 43];[4, 3];[5, 10];[100];0.3063063063063063
0.0422558258055;0.0886479001731;2;[46, 10];[3, 3];[5, 2];[100, 54, 5];0.3058823529411765
0.0897172307817;0.0074346678094;7;[54, 16];[4, 4];[2, 10];[73, 70, 11];0.29333333333333333
0.00411273715162;0.710033511191;10;[35];[2];[10];[37, 21];0.28758169934640526
0.816642873249;0.0593310755168;5;[57];[4];[10];[38, 29];0.2857142857142857
0.0396259127716;0.0214180790106;9;[10];[3];[5];[81, 11];0.2829268292682927
0.231898669776;0.0226589188819;5;[32];[3];[5];[87, 19];0.2795698924731183
0.0110518751821;0.0732616467899;4;[27];[3];[2];[70, 34];0.27722772277227725
0.032111656332;0.0120615842033;9;[11, 16];[2, 2];[10, 2];[90];0.2758620689655173
0.028562493692;0.0288106339473;7;[22];[2];[2];[75];0.27488151658767773
0.00545367566965;0.0247957139687;10;[16, 10];[4, 4];[5, 10];[78, 50];0.27237354085603116
0.473905412542;0.0141676183295;2;[34, 31];[3, 4];[2, 2];[46];0.2710622710622711
0.0103874211305;0.0537407769352;3;[55, 51];[3, 3];[2, 2];[43];0.2670157068062828
0.0479470916472;0.00487654787058;10;[59];[2];[2];[89, 71];0.26440677966101694
0.265315132985;0.00542770119356;3;[30, 19];[3, 2];[2, 5];[76, 16];0.26136363636363635
0.00587909609079;0.00588389125198;9;[36, 51];[4, 3];[5, 10];[69];0.25082508250825086
0.0168645540913;0.0312704823373;8;[45];[2];[2];[95, 42];0.242603550295858
0.00388132227418;0.0124124778186;6;[58];[3];[10];[67, 47];0.22556390977443608
0.00351574353635;0.760369458737;7;[28, 31];[4, 4];[2, 5];[36, 28];0.21729490022172948
0.0102978088488;0.00817648938302;2;[32, 50];[2, 4];[10, 2];[60, 50, 23];0.19771863117870725
0.876943296684;0.00875445893763;10;[17, 51];[3, 3];[5, 10];[14, 4];0.19269102990033224
0.5663868886;0.00475245177556;8;[14];[2];[10];[5];0.18543046357615892
0.003308011327;0.011387760087;9;[36];[3];[5];[26, 16, 15];0.17625899280575538
0.00957934828679;0.459079925874;2;[34];[4];[5];[23, 20];0.15151515151515152
0.0370075007241;0.741956326724;7;[11, 53];[2, 2];[5, 5];[31, 4];0.14925373134328357
0.0100398384572;0.0439949552412;3;[41, 22];[2, 4];[2, 2];[33, 32];0.14501510574018125
0.00661264118286;0.00594941956825;7;[12];[2];[10];[75, 75];0.14307458143074583
0.0195844875645;0.0195629959344;1;[44, 16];[3, 3];[10, 2];[13, 6, 6];0.14304993252361672
0.00520403375433;0.00367986899637;3;[28, 30];[3, 4];[5, 10];[50];0.14285714285714285
0.00412774451956;0.0251383103173;10;[40];[2];[10];[55, 38];0.13494809688581316
0.0110699712797;0.00346246388922;2;[24, 17];[2, 2];[10, 10];[97, 69, 38];0.13404825737265416
0.141949708957;0.212971674047;2;[28];[2];[10];[31, 9];0.13333333333333333
0.00344041480415;0.431367147847;2;[56];[3];[2];[99];0.12629161882893225
