Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.245505845001;0.0358450232515;2;[45];[3];[10];[53];0.11890606420927467
0.283683012266;0.0287933487708;8;[];[];[];[92, 83];0.10463733650416171
0.0436103029129;0.0842790506118;7;[];[];[];[86, 11, 4];0.09981851179673322
0.949555851947;0.00428158507285;9;[];[];[];[94];0.09357997823721437
0.234365688183;0.00967792536439;1;[49];[3];[5];[70, 12];0.07520891364902506
0.0965769532869;0.0813451456936;3;[];[];[];[68, 25];0.06704397039616893
0.178441514438;0.107428996751;6;[23];[2];[2];[4, 4, 4];0.06504065040650407
0.0231920448721;0.945502533335;7;[];[];[];[89];0.06046863189720333
0.046351106066;0.153559149922;9;[];[];[];[12];0.0529016975917884
0.0369472879286;0.239598169003;3;[60];[3];[5];[51, 13];0.049115913555992145
0.0406045834442;0.435517166422;4;[];[];[];[78];0.04875346260387812
0.0423943321865;0.0245541204746;2;[50];[2];[10];[41, 37];0.039416432045047356
0.123232067723;0.0404974105398;2;[];[];[];[13, 7];0.0388132946687486
0.115111175405;0.00387545403946;1;[32];[3];[2];[76];0.03779672735653376
0.0555169514902;0.0204786278826;3;[37];[2];[5];[68, 7, 6];0.036690378135529764
0.0184073585844;0.0268534572346;8;[11];[4];[10];[40, 30];0.03656738425243291
0.0478522115436;0.0153265446681;5;[];[];[];[25];0.0365380223795387
0.0478659444801;0.0894237840464;3;[12];[2];[2];[93, 47, 44];0.03613080265264121
0.0535936752803;0.044831499948;6;[];[];[];[38, 17, 16];0.0343558282208589
0.0672623239639;0.0442084632977;3;[];[];[];[46];0.03363914373088685
0.0641007705184;0.0367883796322;5;[];[];[];[30, 25];0.033185323673755554
0.0143507922494;0.0544802077439;4;[32];[4];[10];[81, 29, 5];0.032715376226826604
0.0784465736703;0.0811001292955;2;[14];[3];[10];[28, 26, 19];0.03195207189216175
0.0264595163644;0.006537028428;3;[];[];[];[70, 58];0.029240737664063796
0.0477319615386;0.00387220925251;6;[34];[2];[10];[58, 14];0.028915662650602404
0.17120102339;0.0355591688864;1;[26];[4];[5];[50, 27, 12];0.028624347533254758
0.0394295373983;0.22328445434;3;[44];[2];[5];[10, 6];0.028516106319309984
0.0356698246072;0.148337376652;10;[];[];[];[4, 4, 4];0.027604630454140695
0.0127752249396;0.593823991925;4;[37];[3];[5];[64, 17];0.027327737653718525
0.0125682366755;0.0211288533472;6;[];[];[];[96, 66];0.02696420269642027
0.0554621398629;0.0268924944028;2;[];[];[];[65];0.026952526799387443
0.0463094197728;0.00414078566903;4;[];[];[];[94];0.025654923215898826
0.0906403888927;0.0306318019883;1;[34];[4];[10];[62, 24];0.02535377358490566
0.0166443782503;0.00535195168864;8;[];[];[];[69, 7, 5];0.025170583775587563
0.00620150178477;0.0442385760174;10;[60];[4];[2];[6];0.025152439024390245
0.0151496557472;0.160656377741;8;[59];[3];[10];[57, 27, 26];0.02433433256921178
0.0256093787065;0.463956359056;1;[];[];[];[69];0.023423169183011152
0.021155728259;0.0417371448492;10;[];[];[];[68];0.023126881039125614
0.0229255700522;0.0231357716752;3;[];[];[];[91, 59];0.022613424932016603
0.0234820102209;0.0517601485242;3;[39];[3];[5];[12, 9];0.022453083109919576
0.0474846588093;0.386233734918;1;[35];[4];[5];[18, 10];0.022276869665846955
0.0105473397179;0.00891843682518;4;[];[];[];[36, 32, 25];0.022179096201829774
0.00958369557683;0.378730116701;10;[];[];[];[8, 6];0.022162324049116503
0.00705355582011;0.252210085217;4;[25];[4];[2];[49];0.020512820512820513
0.00455368360304;0.0154671880419;4;[41];[2];[10];[96, 20];0.020034981714103988
0.0112444132443;0.00386633647102;6;[];[];[];[44, 25, 14];0.01965188096574958
0.013375925816;0.00540263509312;6;[];[];[];[54];0.018914883026381286
0.00623631227069;0.102613584875;6;[];[];[];[20, 17, 14];0.018547544409613374
0.020952588385;0.0203987565214;2;[40];[4];[5];[13, 6];0.01846313873358471
0.0181664668845;0.0386281954682;8;[13];[4];[10];[98, 69];0.017719680464778505
0.00350722621174;0.952015581974;5;[];[];[];[84];0.017644587592774125
0.410861703386;0.20318348462;10;[28];[3];[10];[53, 50, 46];0.01751824817518248
0.00903992518935;0.13174335934;9;[];[];[];[27, 4];0.017424132423406416
0.00324620371451;0.0419278641263;5;[];[];[];[18, 17, 8];0.016359351171495912
0.720879895807;0.261563324088;10;[];[];[];[21, 17];0.01628929793125916
0.0210387545891;0.715023523394;1;[54];[4];[10];[63, 31, 22];0.015959569091634526
0.100541513479;0.272010918312;2;[];[];[];[49, 43, 14];0.015785697201626404
0.0718041818885;0.183555576021;4;[34];[2];[5];[28, 4, 4];0.015392379510471866
0.142729692806;0.24983610664;6;[];[];[];[9, 7, 6];0.01455026455026455
0.00400111639214;0.381809477062;1;[];[];[];[50, 45, 17];0.014518002322880372
