Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.index.SegmentReader.getFieldNames(boolean);org.apache.lucene.index.FieldInfos;1;0;1;0.9730;175;23;11;2;0;0.8947;73;12;2
org.apache.lucene.search.MultiSearcher.search(Query, Filter, int, Sort);org.apache.lucene.search.TopFieldDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.PrefixQuery.rewrite(IndexReader);org.apache.lucene.index.TermEnum;1;0;1;0.9091;44;3;1;3;0;0.7000;4;4;0
org.apache.lucene.index.DocumentWriter.addPosition(String, String, int);org.apache.lucene.index.Term;1;0;2;0.8889;173;7;9;1;0;0.9286;36;6;2
org.apache.lucene.index.TermInfosReader.getPosition(Term);org.apache.lucene.index.Term;1;2;2;0.8261;88;11;8;1;0;0.9412;36;6;2
org.apache.lucene.index.SegmentReader.hasSeparateNorms(SegmentInfo);org.apache.lucene.index.SegmentInfo;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.TermInfosWriter.add(Term, TermInfo);org.apache.lucene.store.OutputStream;1;2;8;0.6190;52;5;9;3;0;0.9000;69;14;4
org.apache.lucene.search.spans.NearSpans.SpansCell.next();org.apache.lucene.search.spans.NearSpans;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.analysis.ru.RussianLowerCaseFilter.next();org.apache.lucene.analysis.Token;1;0;1;0.8571;16;1;1;0;3;0.7273;30;1;5
org.apache.lucene.search.PhraseScorer.sort();org.apache.lucene.util.PriorityQueue;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.SegmentReader.getFieldNames();org.apache.lucene.index.FieldInfo;1;0;1;0.9722;175;23;11;0;1;0.8571;5;0;3
org.apache.lucene.search.SloppyPhraseScorer.phraseFreq();org.apache.lucene.search.PhrasePositions;1;0;1;0.9286;33;1;1;2;2;0.7895;25;3;6
org.apache.lucene.index.FieldInfos.add(String, boolean, boolean);org.apache.lucene.index.FieldInfo;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.PhraseQuery.PhraseWeight.explain(IndexReader, int);org.apache.lucene.search.Similarity;3;2;3;0.7368;73;5;5;1;0;1.0000;54;15;2
org.apache.lucene.search.Scorer.score(HitCollector);org.apache.lucene.search.HitCollector;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.TermScorer.explain(int);org.apache.lucene.search.TermQuery;2;0;6;0.7273;57;2;11;0;1;0.9500;30;4;1
org.apache.lucene.search.PhraseScorer.doNext();org.apache.lucene.search.PhrasePositions;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.MultiTermDocs.read(int[], int[]);org.apache.lucene.index.TermDocs;0;1;5;0.6667;75;10;7;0;0;1.0000;8;8;0
org.apache.lucene.search.RangeQuery.getField();org.apache.lucene.index.Term;1;0;2;0.7500;71;4;3;0;1;0.9167;36;6;2
org.apache.lucene.search.TermQuery.toString(String);org.apache.lucene.index.Term;1;0;1;0.8571;30;4;1;0;2;0.8333;36;6;2
org.apache.lucene.index.IndexWriter.readDeleteableFiles();org.apache.lucene.store.InputStream;0;0;1;0.9722;217;17;16;3;0;0.8750;101;15;7
org.apache.lucene.search.IndexSearcher.search(Query, Filter, HitCollector);org.apache.lucene.search.Weight;0;0;1;0.9333;67;8;1;1;0;0.9091;6;6;0
org.apache.lucene.index.MultiTermDocs.next();org.apache.lucene.index.TermDocs;0;2;5;0.6667;75;10;7;0;0;1.0000;8;8;0
org.apache.lucene.index.DocumentWriter.invertDocument(Document);org.apache.lucene.document.Document;2;1;5;0.7857;173;7;9;1;0;0.9643;57;7;2
org.apache.lucene.analysis.ru.RussianStemFilter.next();org.apache.lucene.analysis.Token;1;0;2;0.8182;21;2;2;0;4;0.6923;30;1;5
org.apache.lucene.queryParser.QueryParser.getToken(int);org.apache.lucene.queryParser.Token;1;0;4;0.9310;745;32;36;0;1;0.9231;9;1;8
org.apache.lucene.index.IndexWriter.readDeleteableFiles();org.apache.lucene.store.Directory;0;0;1;0.9722;217;17;16;2;0;0.8667;11;11;0
org.apache.lucene.search.Hits.getMoreDocs(int);org.apache.lucene.search.TopDocs;2;0;5;0.7619;85;7;9;0;2;0.8182;4;0;2
org.apache.lucene.index.DocumentWriter.addDocument(String, Document);org.apache.lucene.index.FieldInfos;1;4;5;0.5714;173;7;9;3;0;0.8929;73;12;2
org.apache.lucene.index.SegmentTermEnum.clone();org.apache.lucene.index.Term;1;1;3;0.8261;72;11;10;0;1;0.9333;36;6;2
org.apache.lucene.index.TermInfosWriter.writeTerm(Term);org.apache.lucene.util.StringHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.FieldInfos.write(OutputStream);org.apache.lucene.store.OutputStream;1;2;0;0.9000;73;12;2;3;0;0.8571;69;14;4
org.apache.lucene.search.FieldCacheImpl.getCustom(IndexReader, String, SortComparator);org.apache.lucene.index.TermDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.ParallelMultiSearcher.search(Query, Filter, HitCollector);org.apache.lucene.search.Searchable;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.TermInfosReader.scanEnum(Term);org.apache.lucene.index.SegmentTermEnum;1;0;1;0.9565;88;11;8;2;1;0.8750;72;11;10
org.apache.lucene.index.SegmentReader.initialize(SegmentInfo);org.apache.lucene.store.Directory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.IndexReader.open(String);org.apache.lucene.store.FSDirectory;0;1;0;1.0000;130;34;3;1;0;1.0000;172;17;7
org.apache.lucene.search.IndexSearcher.maxDoc();org.apache.lucene.index.IndexReader;0;0;1;0.9091;67;8;1;1;0;0.9630;130;34;3
