Snapshot;Class;ChangeType
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.impl.xs.XSComplexTypeDecl;M
f389cbf2835c4d2fd4d9dc50c80eba7fb7eb66c0;org.apache.xerces.impl.xs.traversers.XSDSimpleTypeTraverser;M
b7176568679c25c76aac5d963443e2564ba4d4ce;org.apache.xerces.parsers.DOMParserImpl;M
aab72ad1e0cd1ce425357b999202db28461953b8;org.apache.xerces.impl.xs.XMLSchemaValidator;M
aab72ad1e0cd1ce425357b999202db28461953b8;org.apache.xerces.impl.xs.identity.Field;M
aab72ad1e0cd1ce425357b999202db28461953b8;org.apache.xerces.impl.xs.identity.Selector;M
aab72ad1e0cd1ce425357b999202db28461953b8;org.apache.xerces.impl.xs.identity.ValueStore;M
aab72ad1e0cd1ce425357b999202db28461953b8;org.apache.xerces.impl.xs.identity.XPathMatcher;M
57d42d116f41d8c8f8ff71c5945bd9194659c09a;org.apache.xerces.parsers.AbstractDOMParser;M
da62e7ecc374c76689a63aa1e3312105a3b3fb18;org.apache.xerces.parsers.DOMParserImpl;M
3893a210786fea6e8236c54214287515c5333708;org.apache.xerces.parsers.XIncludeAwareParserConfiguration;M
ac7169a1ff24ca18e64b720f2fb6acfe98d6d4bd;jaxp.JAXP12Tests;M
ac7169a1ff24ca18e64b720f2fb6acfe98d6d4bd;jaxp.JAXPSpecTest;M
ac7169a1ff24ca18e64b720f2fb6acfe98d6d4bd;thread.Test;M
4298398ebcd1b746da5599d6cca6cbee2b2cb2cc;dom.serialize.TestSerializeDOMIn;M
4298398ebcd1b746da5599d6cca6cbee2b2cb2cc;dom.serialize.TestSerializeDOMOut;M
4298398ebcd1b746da5599d6cca6cbee2b2cb2cc;dom.serialize.TestXmlns;M
4298398ebcd1b746da5599d6cca6cbee2b2cb2cc;dom.treewalker.TestFirstChild;M
7cdcc7a47cccff4b99b0953fbecf52c411a58a10;dom.range.Test;M
7cdcc7a47cccff4b99b0953fbecf52c411a58a10;dom.range.TestCompare;M
ec8dcf473f17f70373f86b4eb51e0dc4a5e7ead9;dom.ids.Test;M
6be8963307188beef1506354033e680c7dcde328;dom.dom3.Test;M
2d0d87c584ca8010a158de052e01814936e4a281;dom.DTest;M
86dd45ecca08d8dfa4cc68df991db658c2b607d7;ui.DOMTree;M
86dd45ecca08d8dfa4cc68df991db658c2b607d7;ui.DOMTreeFull;M
86dd45ecca08d8dfa4cc68df991db658c2b607d7;ui.TreeView;M
185d5ab98c69635008c9489ebfbf5ab720435445;dom.traversal.IteratorView;M
185d5ab98c69635008c9489ebfbf5ab720435445;dom.traversal.TreeWalkerView;M
46fe449cf80fda945b78eec83f2ad181c270dff8;dom.ASBuilder;D
6b191f9c7124b4641060c8ccc9f7c050acd45a1b;dom.DOM3;M
6b191f9c7124b4641060c8ccc9f7c050acd45a1b;dom.DOMGenerate;M
18a85d2f9513b5555de4337906bde7d76969b95a;dom.Counter;M
18a85d2f9513b5555de4337906bde7d76969b95a;dom.GetElementsByTagName;M
18a85d2f9513b5555de4337906bde7d76969b95a;dom.Writer;M
6e83bd4a8230f457cc0c1f0fd815d964c421a27e;sax.Counter;M
6e83bd4a8230f457cc0c1f0fd815d964c421a27e;sax.DocumentTracer;M
6e83bd4a8230f457cc0c1f0fd815d964c421a27e;sax.Writer;M
1a36c93d0a9dc246b214a6f48cec1cfa96de362c;org.apache.xerces.xinclude.XIncludeHandler;M
d151df115ffe78dc44beeba4f82a8f842488d790;org.apache.xerces.xinclude.XIncludeTextReader;M
4fa7231a193ba64edb906b606ae9ec82b4e1610f;org.apache.xerces.jaxp.datatype.DurationImpl;M
4fa7231a193ba64edb906b606ae9ec82b4e1610f;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl;M
9a7b063a51495807ef62d9a6fa560b0951301a7d;org.apache.xerces.util.DatatypeMessageFormatter;M
aa6e9386dbebcef2ca3955dc3f078c0e7c3ea9df;org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl;M
aa6e9386dbebcef2ca3955dc3f078c0e7c3ea9df;org.apache.xerces.jaxp.datatype.DurationImpl;M
aa6e9386dbebcef2ca3955dc3f078c0e7c3ea9df;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl;M
c53fe4a2d02e022c8b6aabe38c79ded24bda73d4;org.apache.xerces.util.DatatypeMessageFormatter;A
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.AbstractDateTimeDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.DateDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.DateTimeDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.DayDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.DayTimeDurationDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.DurationDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.MonthDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.MonthDayDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.QNameDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.TimeDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.YearDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.YearMonthDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.impl.dv.xs.YearMonthDurationDV;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl;A
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.jaxp.datatype.DurationImpl;A
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl;A
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.xs.datatypes.XSDateTime;M
a74c5a6fda650f0c73ba36d728cb3654e47157c8;org.apache.xerces.xs.datatypes.XSQName;A
0c47fbdd488522c8fc887ab66511c0340469481b;org.apache.xerces.xinclude.XIncludeHandler;M
aa24e8f47e557c812ab299f316075212303ccac0;org.apache.xerces.dom.CoreDOMImplementationImpl;M
